title,sample,genotype,time,cond,LD,location,batch
for_brain_ZT2,2F,for,2,for,light,inside,1
for_brain_ZT4,4F,for,4,for,light,inside,2
for_brain_ZT6,6F,for,6,for,light,inside,3
for_brain_ZT8,8F,for,8,for,light,inside,4
for_brain_ZT10,10F,for,10,for,light,inside,5
for_brain_ZT12,12F,for,12,for,dark,outside,6
for_brain_ZT14,14F,for,14,for,dark,outside,7
for_brain_ZT16,16F,for,16,for,dark,outside,8
for_brain_ZT18,18F,for,18,for,dark,outside,9
for_brain_ZT20,20F,for,20,for,dark,outside,10
for_brain_ZT22,22F,for,22,for,dark,outside,11
for_brain_ZT24,24F,for,24,for,light,inside,12
nur_brain_ZT2,2N,nur,2,nur,light,inside,1
nur_brain_ZT4,4N,nur,4,nur,light,inside,2
nur_brain_ZT6,6N,nur,6,nur,light,inside,3
nur_brain_ZT8,8N,nur,8,nur,light,inside,4
nur_brain_ZT10,10N,nur,10,nur,light,inside,5
nur_brain_ZT12,12N,nur,12,nur,dark,inside,6
nur_brain_ZT14,14N,nur,14,nur,dark,inside,7
nur_brain_ZT16,16N,nur,16,nur,dark,inside,8
nur_brain_ZT18,18N,nur,18,nur,dark,inside,9
nur_brain_ZT20,20N,nur,20,nur,dark,inside,10
nur_brain_ZT22,22N,nur,22,nur,dark,inside,11
nur_brain_ZT24,24N,nur,24,nur,light,inside,12